ID_completo,Fecha,Fecha_dt,Satelite,Nubes_inicial_%,Nubes_±5d_%,Nubes_vecinos_%,Nubes_DEM_%,Nubes_DEM_inverso_%,Nubes_MODIS_%,Snowline_DEM_m,Snowline_DEM_inverso_m,MODIS_iters,Export_task_description
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20151006,2015-10-06,2015-10-06,LANDSAT_8,41.80,41.80,8.98,4.89,4.35,0.02,1547.00,1571.00,3,2015_10_06-Landsat8
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20151022,2015-10-22,2015-10-22,LANDSAT_8,94.69,94.69,52.40,46.67,46.67,0.71,1971.00,1995.00,3,2015_10_22-Landsat8
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20151107,2015-11-07,2015-11-07,LANDSAT_8,9.00,9.00,0.44,0.44,0.44,0.44,,,0,2015_11_07-Landsat8
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20151123,2015-11-23,2015-11-23,LANDSAT_8,16.80,16.80,0.93,0.93,0.93,0.93,,,0,2015_11_23-Landsat8
COPERNICUS/S2_SR_HARMONIZED/20151203T105422_20151203T105811_T31TCH,2015-12-03,2015-12-03,SENTINEL_2,0.00,0.00,0.00,0.00,0.00,0.00,,,0,2015_12_03-Sentinel2
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20151209,2015-12-09,2015-12-09,LANDSAT_8,7.64,7.64,0.37,0.37,0.37,0.37,,,0,2015_12_09-Landsat8
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20151225,2015-12-25,2015-12-25,LANDSAT_8,13.52,13.52,0.48,0.48,0.48,0.48,,,0,2015_12_25-Landsat8
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20160110,2016-01-10,2016-01-10,LANDSAT_8,56.44,56.44,0.00,0.00,0.00,0.00,,,0,2016_01_10-Landsat8
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20160126,2016-01-26,2016-01-26,LANDSAT_8,12.43,12.43,0.41,0.41,0.41,0.41,,,0,2016_01_26-Landsat8
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20160227,2016-02-27,2016-02-27,LANDSAT_8,40.16,40.16,0.00,0.00,0.00,0.00,,,0,2016_02_27-Landsat8
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20160314,2016-03-14,2016-03-14,LANDSAT_8,33.81,33.81,3.75,3.07,2.30,0.06,1831.00,1831.00,2,2016_03_14-Landsat8
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20160330,2016-03-30,2016-03-30,LANDSAT_8,63.78,63.78,10.40,6.30,5.00,3.86,1795.00,1795.00,5,2016_03_30-Landsat8
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20160415,2016-04-15,2016-04-15,LANDSAT_8,35.21,35.21,5.14,4.12,1.85,0.11,2007.00,2007.00,2,2016_04_15-Landsat8
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20160501,2016-05-01,2016-05-01,LANDSAT_8,17.77,17.77,0.27,0.27,0.27,0.27,,,0,2016_05_01-Landsat8
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20160517,2016-05-17,2016-05-17,LANDSAT_8,28.40,28.40,7.60,6.67,4.88,0.00,2263.00,2247.00,2,2016_05_17-Landsat8
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20160602,2016-06-02,2016-06-02,LANDSAT_8,37.51,37.51,6.78,4.24,2.25,0.81,2151.00,2167.00,3,2016_06_02-Landsat8
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20160618,2016-06-18,2016-06-18,LANDSAT_8,84.92,84.92,30.67,16.52,14.14,5.79,1719.00,1799.00,5,2016_06_18-Landsat8
