ID_completo,Fecha,Fecha_dt,Satelite,Nubes_inicial_%,Nubes_±5d_%,Nubes_vecinos_%,Nubes_DEM_%,Nubes_DEM_inverso_%,Nubes_MODIS_%,Snowline_DEM_m,Snowline_DEM_inverso_m,MODIS_iters,Export_task_description
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20131016,2013-10-16,2013-10-16,LANDSAT_8,14.93,14.93,3.34,1.90,1.78,0.31,1607.00,1623.00,1,2013_10_16-Landsat8
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20131101,2013-11-01,2013-11-01,LANDSAT_8,100.00,100.00,93.90,91.12,91.12,0.97,2187.00,2203.00,4,2013_11_01-Landsat8
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20131203,2013-12-03,2013-12-03,LANDSAT_8,0.89,0.89,0.89,0.89,0.89,0.89,,,0,2013_12_03-Landsat8
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20140120,2014-01-20,2014-01-20,LANDSAT_8,6.00,6.00,0.00,0.00,0.00,0.00,,,0,2014_01_20-Landsat8
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20140205,2014-02-05,2014-02-05,LANDSAT_8,35.14,35.14,0.59,0.59,0.59,0.59,,,0,2014_02_05-Landsat8
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20140221,2014-02-21,2014-02-21,LANDSAT_8,77.17,77.17,1.47,0.98,0.98,0.98,1671.00,,0,2014_02_21-Landsat8
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20140309,2014-03-09,2014-03-09,LANDSAT_8,8.66,8.66,0.33,0.33,0.33,0.33,,,0,2014_03_09-Landsat8
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20140325,2014-03-25,2014-03-25,LANDSAT_8,40.14,40.14,3.33,2.78,2.48,0.43,1719.00,1719.00,2,2014_03_25-Landsat8
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20140410,2014-04-10,2014-04-10,LANDSAT_8,9.04,9.04,0.29,0.29,0.29,0.29,,,0,2014_04_10-Landsat8
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20140426,2014-04-26,2014-04-26,LANDSAT_8,0.00,0.00,0.00,0.00,0.00,0.00,,,0,2014_04_26-Landsat8
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20140512,2014-05-12,2014-05-12,LANDSAT_8,61.92,61.92,20.18,16.20,12.89,0.25,2183.00,2183.00,3,2014_05_12-Landsat8
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20140528,2014-05-28,2014-05-28,LANDSAT_8,97.95,97.95,28.19,16.89,16.57,6.54,1715.00,1755.00,5,2014_05_28-Landsat8
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20140613,2014-06-13,2014-06-13,LANDSAT_8,52.15,52.15,4.99,1.17,0.69,0.69,1927.00,1943.00,0,2014_06_13-Landsat8
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20140629,2014-06-29,2014-06-29,LANDSAT_8,75.86,75.86,20.96,8.38,6.79,0.00,1703.00,1767.00,3,2014_06_29-Landsat8
