ID_completo,Fecha,Fecha_dt,Satelite,Nubes_inicial_%,Nubes_±5d_%,Nubes_vecinos_%,Nubes_DEM_%,Nubes_DEM_inverso_%,Nubes_MODIS_%,Snowline_DEM_m,Snowline_DEM_inverso_m,MODIS_iters,Export_task_description
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20141003,2014-10-03,2014-10-03,LANDSAT_8,6.10,6.10,0.71,0.71,0.71,0.71,,,0,2014_10_03-Landsat8
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20141019,2014-10-19,2014-10-19,LANDSAT_8,82.16,82.16,63.57,61.81,61.59,0.22,1523.00,1571.00,3,2014_10_19-Landsat8
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20141120,2014-11-20,2014-11-20,LANDSAT_8,11.80,11.80,0.49,0.49,0.49,0.49,,,0,2014_11_20-Landsat8
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20141206,2014-12-06,2014-12-06,LANDSAT_8,36.83,36.83,1.12,1.06,0.95,0.95,1671.00,1671.00,0,2014_12_06-Landsat8
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20141222,2014-12-22,2014-12-22,LANDSAT_8,1.50,1.50,0.10,0.10,0.10,0.10,,,0,2014_12_22-Landsat8
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20150107,2015-01-07,2015-01-07,LANDSAT_8,7.87,7.87,0.35,0.35,0.35,0.35,,,0,2015_01_07-Landsat8
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20150208,2015-02-08,2015-02-08,LANDSAT_8,0.15,0.15,0.15,0.15,0.15,0.15,,,0,2015_02_08-Landsat8
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20150224,2015-02-24,2015-02-24,LANDSAT_8,0.66,0.66,0.66,0.66,0.66,0.66,,,0,2015_02_24-Landsat8
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20150312,2015-03-12,2015-03-12,LANDSAT_8,5.46,5.46,0.23,0.23,0.23,0.23,,,0,2015_03_12-Landsat8
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20150328,2015-03-28,2015-03-28,LANDSAT_8,10.42,10.42,0.47,0.47,0.47,0.47,,,0,2015_03_28-Landsat8
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20150413,2015-04-13,2015-04-13,LANDSAT_8,22.12,22.12,1.52,0.75,0.75,0.75,2055.00,,0,2015_04_13-Landsat8
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20150429,2015-04-29,2015-04-29,LANDSAT_8,0.10,0.10,0.10,0.10,0.10,0.10,,,0,2015_04_29-Landsat8
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20150515,2015-05-15,2015-05-15,LANDSAT_8,64.70,64.70,5.93,3.52,1.90,0.23,1767.00,1767.00,2,2015_05_15-Landsat8
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20150531,2015-05-31,2015-05-31,LANDSAT_8,80.11,80.11,22.79,14.58,13.54,1.62,1767.00,1799.00,5,2015_05_31-Landsat8
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20150616,2015-06-16,2015-06-16,LANDSAT_8,78.91,78.91,29.67,18.79,15.47,0.00,1895.00,1959.00,5,2015_06_16-Landsat8
