ID_completo,Fecha,Fecha_dt,Satelite,Nubes_inicial_%,Nubes_±5d_%,Nubes_vecinos_%,Nubes_DEM_%,Nubes_DEM_inverso_%,Nubes_MODIS_%,Snowline_DEM_m,Snowline_DEM_inverso_m,MODIS_iters,Export_task_description
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20130423,2013-04-23,2013-04-23,LANDSAT_8,10.06,10.06,0.36,0.36,0.36,0.36,,,0,2013_04_23-Landsat8
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20130525,2013-05-25,2013-05-25,LANDSAT_8,12.94,12.94,0.74,0.74,0.74,0.74,,,0,2013_05_25-Landsat8
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20130610,2013-06-10,2013-06-10,LANDSAT_8,44.06,44.06,6.73,4.70,2.61,0.37,2071.00,2071.00,1,2013_06_10-Landsat8
LANDSAT/LC08/C02/T1_TOA/LC08_198030_20130626,2013-06-26,2013-06-26,LANDSAT_8,11.96,11.96,0.60,0.60,0.60,0.60,,,0,2013_06_26-Landsat8
