ID_completo,Fecha,Fecha_dt,Satelite,Nubes_inicial_%,Nubes_±5d_%,Nubes_vecinos_%,Nubes_DEM_%,Nubes_DEM_inverso_%,Nubes_MODIS_%,Snowline_DEM_m,Snowline_DEM_inverso_m,MODIS_iters,Export_task_description
LANDSAT/LT05/C02/T1_TOA/LT05_198030_20061029,2006-10-29,2006-10-29,LANDSAT_5,78.60,78.60,33.34,21.90,21.64,0.00,1463.00,1527.00,2,2006_10_29-Landsat5
LANDSAT/LT05/C02/T1_TOA/LT05_198030_20061114,2006-11-14,2006-11-14,LANDSAT_5,7.83,7.83,0.30,0.30,0.30,0.30,,,0,2006_11_14-Landsat5
LANDSAT/LT05/C02/T1_TOA/LT05_198030_20061130,2006-11-30,2006-11-30,LANDSAT_5,18.19,18.19,0.63,0.63,0.63,0.63,,,0,2006_11_30-Landsat5
LANDSAT/LT05/C02/T1_TOA/LT05_198030_20061216,2006-12-16,2006-12-16,LANDSAT_5,17.12,17.12,0.49,0.49,0.49,0.49,,,0,2006_12_16-Landsat5
LANDSAT/LT05/C02/T1_TOA/LT05_198030_20070101,2007-01-01,2007-01-01,LANDSAT_5,90.80,90.80,0.19,0.19,0.19,0.19,,,0,2007_01_01-Landsat5
LANDSAT/LT05/C02/T1_TOA/LT05_198030_20070117,2007-01-17,2007-01-17,LANDSAT_5,22.38,22.38,0.59,0.59,0.59,0.59,,,0,2007_01_17-Landsat5
LANDSAT/LT05/C02/T1_TOA/LT05_198030_20070202,2007-02-02,2007-02-02,LANDSAT_5,13.18,13.18,0.57,0.57,0.57,0.57,,,0,2007_02_02-Landsat5
LANDSAT/LT05/C02/T1_TOA/LT05_198030_20070306,2007-03-06,2007-03-06,LANDSAT_5,98.17,98.17,34.33,25.03,25.03,13.17,1559.00,1607.00,5,2007_03_06-Landsat5
LANDSAT/LT05/C02/T1_TOA/LT05_198030_20070509,2007-05-09,2007-05-09,LANDSAT_5,13.03,13.03,0.32,0.32,0.32,0.32,,,0,2007_05_09-Landsat5
LANDSAT/LT05/C02/T1_TOA/LT05_198030_20070525,2007-05-25,2007-05-25,LANDSAT_5,98.16,98.16,64.80,51.71,51.33,18.77,1931.00,1995.00,5,2007_05_25-Landsat5
LANDSAT/LT05/C02/T1_TOA/LT05_198030_20070610,2007-06-10,2007-06-10,LANDSAT_5,39.55,39.55,15.76,13.47,10.76,0.01,2371.00,2355.00,4,2007_06_10-Landsat5
LANDSAT/LT05/C02/T1_TOA/LT05_198030_20070626,2007-06-26,2007-06-26,LANDSAT_5,9.07,9.07,1.82,1.00,0.69,0.69,2267.00,2291.00,0,2007_06_26-Landsat5
