ID_completo,Fecha,Fecha_dt,Satelite,Nubes_inicial_%,Nubes_±5d_%,Nubes_vecinos_%,Nubes_DEM_%,Nubes_DEM_inverso_%,Nubes_MODIS_%,Snowline_DEM_m,Snowline_DEM_inverso_m,MODIS_iters,Export_task_description
LANDSAT/LT05/C02/T1_TOA/LT05_198030_20041007,2004-10-07,2004-10-07,LANDSAT_5,61.59,61.59,18.26,9.44,8.89,0.08,1655.00,1687.00,3,2004_10_07-Landsat5
LANDSAT/LT05/C02/T1_TOA/LT05_198030_20041023,2004-10-23,2004-10-23,LANDSAT_5,0.04,0.04,0.04,0.04,0.04,0.04,,,0,2004_10_23-Landsat5
LANDSAT/LT05/C02/T1_TOA/LT05_198030_20041124,2004-11-24,2004-11-24,LANDSAT_5,9.48,9.48,0.46,0.46,0.46,0.46,,,0,2004_11_24-Landsat5
LANDSAT/LT05/C02/T1_TOA/LT05_198030_20041210,2004-12-10,2004-12-10,LANDSAT_5,2.13,2.13,0.10,0.10,0.10,0.10,,,0,2004_12_10-Landsat5
LANDSAT/LT05/C02/T1_TOA/LT05_198030_20041226,2004-12-26,2004-12-26,LANDSAT_5,31.34,31.34,0.87,0.87,0.87,0.87,,,0,2004_12_26-Landsat5
LANDSAT/LT05/C02/T1_TOA/LT05_198030_20050111,2005-01-11,2005-01-11,LANDSAT_5,6.41,6.41,0.32,0.32,0.32,0.32,,,0,2005_01_11-Landsat5
LANDSAT/LT05/C02/T1_TOA/LT05_198030_20050127,2005-01-27,2005-01-27,LANDSAT_5,2.71,2.71,0.28,0.28,0.28,0.28,,,0,2005_01_27-Landsat5
LANDSAT/LT05/C02/T1_TOA/LT05_198030_20050212,2005-02-12,2005-02-12,LANDSAT_5,37.83,37.83,9.82,7.15,7.05,0.43,1623.00,1623.00,3,2005_02_12-Landsat5
LANDSAT/LT05/C02/T1_TOA/LT05_198030_20050228,2005-02-28,2005-02-28,LANDSAT_5,4.01,4.01,0.13,0.13,0.13,0.13,,,0,2005_02_28-Landsat5
LANDSAT/LT05/C02/T1_TOA/LT05_198030_20050316,2005-03-16,2005-03-16,LANDSAT_5,9.38,9.38,0.29,0.29,0.29,0.29,,,0,2005_03_16-Landsat5
LANDSAT/LT05/C02/T1_TOA/LT05_198030_20050401,2005-04-01,2005-04-01,LANDSAT_5,32.18,32.18,5.81,4.57,3.82,0.00,1687.00,1687.00,1,2005_04_01-Landsat5
LANDSAT/LT05/C02/T1_TOA/LT05_198030_20050417,2005-04-17,2005-04-17,LANDSAT_5,7.54,7.54,0.26,0.26,0.26,0.26,,,0,2005_04_17-Landsat5
LANDSAT/LT05/C02/T1_TOA/LT05_198030_20050503,2005-05-03,2005-05-03,LANDSAT_5,57.11,57.11,9.45,4.69,3.16,1.98,1863.00,1879.00,5,2005_05_03-Landsat5
LANDSAT/LT05/C02/T1_TOA/LT05_198030_20050519,2005-05-19,2005-05-19,LANDSAT_5,13.67,13.67,0.25,0.25,0.25,0.25,,,0,2005_05_19-Landsat5
LANDSAT/LT05/C02/T1_TOA/LT05_198030_20050604,2005-06-04,2005-06-04,LANDSAT_5,94.55,94.55,46.08,38.02,28.95,0.00,2243.00,2243.00,3,2005_06_04-Landsat5
LANDSAT/LT05/C02/T1_TOA/LT05_198030_20050620,2005-06-20,2005-06-20,LANDSAT_5,80.07,80.07,40.81,27.93,27.01,0.12,1831.00,1895.00,5,2005_06_20-Landsat5
